name,email,Wybrany dnia,Lista,Okręg wyborczy,Liczba głosów,Ślubowanie,Staż parlamentarny,Klub/koło,Data i miejsce urodzenia,Wykształcenie,Ukończona szkoła,Zawód,Funkcja w klubie/kole,Tytuł/stopień naukowy,Wybrana dnia,Funkcja w Sejmie,Wygaśnięcie mandatu
Urszula Augustyn,Urszula.Augustyn@sejm.pl,,Koalicja Obywatelska,15  Tarnów,20120,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","01-09-1964, Tarnów",wyższe,"Wyższa Szkoła Pedagogiczna, Wydział Filologii Polskiej, Filologia polska - magister (1990)",dziennikarka,,,13-10-2019,,
Tadeusz Aziewicz,Tadeusz.Aziewicz@sejm.pl,13-10-2019,Koalicja Obywatelska,26  Słupsk,9385,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","31-10-1960, Sopot",wyższe,"Uniwersytet Gdański, Wydział Ekonomiki Transportu - magister (1986)",ekonomista,,,,,
Zbigniew Babalski,Zbigniew.Babalski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,34  Elbląg,19293,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"27-04-1953, Ostróda",wyższe,"Akademia Rolniczo-Techniczna, Wydział Rolny - inżynier (1984)Akademia Rolniczo-Techniczna, Pedagogika Oświaty Rolniczej - magister (1986)Wyższa Szkoła Pedagogiczna, Organizacja i Zarządzanie Oświatą (1994) - studia podyplomowe",parlamentarzysta,,,,,
Piotr Babinetz,Piotr.Babinetz@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,22  Krosno,13360,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"09-09-1969, Krosno",wyższe,"Uniwersytet Wrocławski, Wydział Nauk Historycznych i Pedagogicznych, Historia - magister (2007)",historyk,,,,,
Ryszard Bartosik,Ryszard.Bartosik@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,37  Konin,17338,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"11-01-1968, Turek",wyższe,"Uniwersytet im Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa, Politologia - magister (2011)",parlamentarzysta,,,,,
Władysław Teofil Bartoszewski,Wladyslaw.Bartoszewski@sejm.pl,13-10-2019,Polskie Stronnictwo Ludowe,19  Warszawa,30405,12-11-2019,brak,"Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści","22-10-1955, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Historyczny, Etnografia - magister (1980)Uniwersytet w Cambridge, Wielka Brytania, Antropologia Społeczna - Doctor of Philosophy (Ph.D.) (1984)",historyk,, Doctor of Philosophy (Ph.D.),,,
Barbara Bartuś,Barbara.Bartus@sejm.pl,,Prawo i Sprawiedliwość,14  Nowy Sącz,23468,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"03-07-1967, Gorlice",wyższe,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa i Administracji, Administracja - magister (2000)Uniwersytet Rzeszowski, Wydział Prawa, Prawo - magister (2003)",prawnik,"wiceprzewodnicząca, sekretarz",,13-10-2019,,
Mieczysław Baszko,Mieczyslaw.Baszko@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,24  Białystok,11060,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"26-06-1961, Boratyńszczyzna",wyższe,"Akademia Wychowania Fizycznego w Warszawie Filia Biała Podlaska, Wydział Wychowania Fizycznego, Wychowanie fizyczne - magister (1993)Akademia Wychowania Fizycznego w Poznaniu, Organizacja i zrządzanie sportem (2000) - studia podyplomowe",nauczyciel wychowania fizycznego,,,,,
Dariusz Bąk,Dariusz.Bak@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,17  Radom,12494,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"04-01-1958, Mogielnica",wyższe,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Leśny - magister inżynier (1984)",leśnik,,,,,
Paweł Bejda,Pawel.Bejda@sejm.pl,13-10-2019,Polskie Stronnictwo Ludowe,11  Sieradz,14161,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści","13-10-1962, Łowicz",wyższe,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Mechaniczny, Technologia maszyn - magister inżynier (1987)Politechnika Łódzka, Wydział Organizacji i Zarządzania, Menedżerskim (2001) - studia podyplomoweWojskowa Akademia Techniczna w Warszawie, Zarządzanie nieruchomościami. Pośrednictwo w obrocie nieruchomościami (2009) - studia podyplomowe",inżynier mechanik,,,,,
Konrad Berkowicz,Konrad.Berkowicz@sejm.pl,13-10-2019,Konfederacja Wolność i Niepodległość,13  Kraków,36428,12-11-2019,brak,Koło Poselskie Konfederacja,"27-05-1984, Kraków",wyższe,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii, Filozofia - licencjat (2018)",programista,,,,,
Magdalena Biejat,biuro@magdalenabiejat.pl,,Sojusz Lewicy Demokratycznej,19  Warszawa,19501,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","11-01-1982, Warszawa",wyższe,"Universidad De Granada (Hiszpania), Socjologia i Nauki Polityczne, Socjologia - magister (2006)Collegium Civitas i Instytut Studiów Politycznych PAN, Studium Zarządzanie Organizacjami Pozarządowymi, Zarządzanie Organizacjami Pozarządowymi (2007) - studia podyplomowe",socjolożka,wiceprzewodnicząca,,13-10-2019,,
Jerzy Bielecki,Jerzy.Bielecki@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,6  Lublin,10286,12-11-2019,"poseł V kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"19-11-1969, Janów Lubelski",wyższe,"Politechnika Rzeszowska im. I. Łukasiewicza, Wydział Elektryczny, Elektrotechnika - magister inżynier (1993)Politechnika Lubelska, Wydział Elektryczny, Telekomunikacja światłowodowa (1999) - studia podyplomoweWyższa Szkoła Przedsiębiorczości i Administracji w Lublinie, Rachunkowość budżetowa (2010) - studia podyplomowePolitechnika Lubelska, Master of Business Administration (2018) - studia podyplomowe",parlamentarzysta,,,,,
Marek Biernacki,Marek.Biernacki@sejm.pl,13-10-2019,Polskie Stronnictwo Ludowe,26  Słupsk,19272,12-11-2019,"poseł III kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści","28-04-1959, Sopot",wyższe,"Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (1985)",Parlamentarzysta,,,,,
Mariusz Błaszczak,Mariusz.Blaszczak@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,20  Warszawa,135189,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"19-09-1969, Legionowo",wyższe,"Uniwersytet Warszawski, Wydział Historyczny, Historia - magister (1995)Uniwersytet Warszawski, Smorząd terytorialny i rozwój lokalny (1998) - studia podyplomoweKrajowa Szkoła Administracji Publicznej, słuchacz KSAP IX Promocji (2001) - studia podyplomowe",urzędnik państwowy,wiceprzewodniczący,,,,
Mateusz Bochenek,Mateusz.Bochenek@sejm.pl,13-10-2019,Koalicja Obywatelska,32  Katowice,15421,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","12-03-1993, Sosnowiec",wyższe,"Uniwersytet Śląski, Wydział Nauk Społecznych, Nauki społeczne - licencjat (2015)Uniwersytet Śląski, Wydział Nauk Społecznych, Nauki humanistyczne - magister (2018)Akademia WSB w Dąbrowie Górniczej, MBA, MBA (2018) - studia podyplomowe",urzędnik samorządowy,,,,,
Rafał Bochenek,Rafal.Bochenek@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,12  Kraków,46816,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"14-08-1986, Kraków",wyższe,"Uniwersytet Jagielloński w Krakowie, Prawo i Administracja, Prawo - magister (2011)Krakowska Izba Notarialna, aplikacja notarialna (2014) - studia podyplomoweKrakowska Szkoła Biznesu przy Uniwersytecie Ekonomicznym, MBA (2019) - studia podyplomowe",prawnik,,,,,
Jerzy Borowczak,Jerzy.Borowczak@sejm.pl,13-10-2019,Koalicja Obywatelska,25  Gdańsk,5491,12-11-2019,"poseł III kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","15-11-1957, Białogard",średnie zawodowe,Technikum Budowy Okrętów i Statków w Gdańsku - technik (1977),technik mechanik,,,,,
Joanna Borowiak,Joanna.Borowiak@sejm.pl,,Prawo i Sprawiedliwość,5  Toruń,15200,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"20-08-1967, Włocławek",wyższe,"Wyższa Szkoła Pedagogiczna w Bydgoszczy, Wydział Pedagogiczny, Wychowanie muzyczne - magister (1993)Uniwersytet Mikołaja Kopernika w Toruniu, Pedagogika - doktor (2005)Kujawsko-Pomorskie Centrum Edukacji Nauczycieli we Włocławku, Organizacja i zarządzanie oświatą (2007) - studia podyplomoweUniwersytet im. Mikołaja Kopernika w Toruniu, Pedagogika zdolności i twórczości (2018) - studia podyplomoweWyższa Szkoła Kultury Społecznej i Medialnej w Toruniu, Relacje Międzynarodowe i Dyplomacja (2018) - studia podyplomowe",nauczyciel akademicki,zastępca sekretarza, doktor,13-10-2019,,
Kamil Bortniczuk,Kamil.Bortniczuk@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,21  Opole,16953,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"11-06-1983, Głuchołazy",wyższe,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Stosunki Międzynarodowe - magister (2007)Uniwersytet Wrocławski, Fundusze Strukturale Unii Europejskiej (2008) - studia podyplomoweUniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (2017)Akademia WSB w Dąbrowie Górniczej, MBA (2019) - studia podyplomowe",parlamentarzysta,,,,,
Piotr Borys,Piotr.Borys@sejm.pl,13-10-2019,Koalicja Obywatelska,1  Legnica,35064,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","11-01-1976, Bolesławiec",wyższe,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, prawo - magister (2001)",przedstawiciel władzy samorządowej - radny,,,,,
Bożena Borys-Szopa,Bozena.Borys-Szopa@sejm.pl,,Prawo i Sprawiedliwość,29  Katowice,49914,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"11-03-1954, Lędziny",wyższe,"Uniwersytet Śląski, Wydział Prawa i Administracji, Prawo - magister (1996)Akademia Górniczo-Hutnicza w Krakowie, Zarządzanie przedsiębiorstwem (1998) - studia podyplomowe",prawnik,,,13-10-2019,,
Krzysztof Bosak,Krzysztof.Bosak@sejm.pl,13-10-2019,Konfederacja Wolność i Niepodległość,33  Kielce,22158,12-11-2019,poseł V kadencji,Koło Poselskie Konfederacja,"13-06-1982, Zielona Góra",średnie ogólne,I Liceum Ogólnokształcące w Zielonej Górze (2000),działacz społeczny,wiceprzewodniczący,,,,
Grzegorz Braun,Grzegorz.Braun@sejm.pl,13-10-2019,Konfederacja Wolność i Niepodległość,23  Rzeszów,31148,12-11-2019,brak,Koło Poselskie Konfederacja,"11-03-1967, Toruń",wyższe,"Uniwersytet Wrocławski, Wydział Filologiczny, Polonistyka - magister (1993)",reżyser,,,,,
Waldemar Buda,Waldemar.Buda@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,9  Łódź,50114,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"21-09-1982, Turek",wyższe,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (2006)Okręgowa Izba Radców Prawnych w Łodzi, Aplikacja radcowska - Radca prawny (2011) - studia podyplomowe",prawnik,,,,,
Borys Budka,Borys.Budka@sejm.pl,13-10-2019,Koalicja Obywatelska,31  Katowice,99550,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","11-03-1978, Czeladź",wyższe,"Uniwersytet Śląski w Katowicach, Wydział Prawa i Administracji, Prawo - magister (2002)Uniwersytet Ekonomiczny w Katowicach, Wydział Finansów i Ubezpieczeń, Ekonomia - doktor (2011)",nauczyciel akademicki,przewodniczący, doktor,,,
Stanisław Bukowiec,Stanislaw.Bukowiec@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,15  Tarnów,12449,12-11-2019,brak,Koło Parlamentarne Porozumienie Jarosława Gowina,"08-11-1972, Bochnia",wyższe,"Uniwersytet Jagielloński, Wydział Filologiczny, Filologia Polska - magister (2000)",przedsiębiorca,,,,,
Lidia Burzyńska,Lidia.Burzynska@sejm.pl,,Prawo i Sprawiedliwość,28  Częstochowa,24672,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"27-08-1964, Rzeki Wielkie",wyższe,"Uniwersytet Śląski, Wydział Nauk Społecznych, Historia - magister (1990)Wyższa Szkoła Pedagogiczna w Częstochowie, Fizyka z informatyką (1999) - studia podyplomoweWyższa Szkoła Zarządzania i Przedsiębiorczości w Kaliszu, Organizacja i zarządzanie - menedżer w oświacie (2001) - studia podyplomoweRegionalny Ośrodek Doskonalenia Nauczycieli ""WOM"", Oligofrenopedagogika (2007) - studia podyplomowe",nauczyciel,,,13-10-2019,,
Wiesław Buż,Wieslaw.Buz@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,23  Rzeszów,15605,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","27-09-1957, Rzeszów",wyższe,"Wyższa Szkoła Społeczno-Gospodarcza w Tyczynie, Wydział Socjologiczno-Politologiczny, Socjologia - magister (2005)",socjolog,,,,,
Małgorzata Chmiel,Malgorzata.Chmiel@sejm.pl,,Koalicja Obywatelska,25  Gdańsk,13557,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","01-05-1953, Gdańsk",wyższe,"Politechnika Gdańska, Wydział Urbanistyki i Architektury, Architektura - magister inżynier (1980)",inżynier architekt,,,13-10-2019,,
Zbigniew Chmielowiec,Zbigniew.Chmielowiec@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,23  Rzeszów,20634,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"22-09-1954, Kolbuszowa",wyższe,"Politechnika Krakowska, Wydział Inżynierii Sanitarnej - magister inżynier (1980)",inżynier środowiska,,,,,
Kazimierz Choma,Kazimierz.Choma@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,6  Lublin,13777,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"16-12-1957, Kraśnik",wyższe,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Metali Nieżelaznych, Metalurgia Metali Nieżelaznych - magister inżynier (1981)Wyższa Szkoła National-Louis University w Nowym Sączu, Zarządzanie firmą (1998) - studia podyplomoweWarszawska Szkoła Zarządzania Szkoła Wyższa, Zarządzanie nieruchomościami (2012) - studia podyplomowe",urzędnik państwowy,,,,,
Dominika Chorosińska,Dominika.Chorosinska@sejm.pl,,Prawo i Sprawiedliwość,20  Warszawa,9596,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"29-12-1978, Elbląg",wyższe,"Państwowa Wyższa Szkoła Teatralna w Krakowie, Wydział Aktorski, aktorstwo dramatyczne - magister sztuki (2000)",aktorka,,,13-10-2019,,
Tadeusz Chrzan,Tadeusz.Chrzan@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,22  Krosno,11177,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"14-09-1963, Grodzisko Dolne",wyższe,"Wyższa Szkoła Gospodarcza w Przemyślu, Zarządzanie i Marketing - licencjat (2006)Politechnika Lubelska, Zarządzanie, Przedsiębiorczość i Marketing - magister (2010)Wyższa Szkoła Menadżerska w Warszawie, Executive Master of Business Administration (2018) - studia podyplomowe",przedstawiciel władzy samorządowej,,,,,
Anna Ewa Cicholska,Anna.Cicholska@sejm.pl,,Prawo i Sprawiedliwość,16  Płock,13133,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"07-02-1962, Ciechanów",wyższe,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Matematyki, Fizyki i Chemii, Chemia - magister (1991)Uniwersytet Warszawski, Fizyka z astronomią (2001) - studia podyplomowe",parlamentarzysta,,,13-10-2019,,
Janusz Cichoń,Janusz.Cichon@sejm.pl,13-10-2019,Koalicja Obywatelska,35  Olsztyn,26402,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","07-01-1957, Bytom",wyższe,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Rolniczy, Ekonomika rolnictwa - magister inżynier (1981)Szkoła Główna Handlowa w Warszawie, Ekonomia - doktor (1990)",poseł,, doktor,,,
Michał Cieślak,Michal.Cieslak@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,33  Kielce,12310,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"09-12-1974, Dąbrowa Tarnowska",wyższe,"Uniwersytet Rolniczy im. H. Kołłątaja w Krakowie, Wydział Rolniczy, Agroekonomia - magister inżynier (2001)Wyższa Warszawska Szkoła Biznesu, MBA (2017) - studia podyplomowe",parlamentarzysta,,,,,
Tadeusz Cymański,Tadeusz.Cymanski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,25  Gdańsk,8019,12-11-2019,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"06-06-1955, Nowy Staw",wyższe,"Uniwersytet Gdański, Ekonomika transportu, Ekonomika i organizacja transportu lądowego - magister (1978)",parlamentarzysta,,,,,
Adam Cyrański,Adam.Cyranski@sejm.pl,13-10-2019,Koalicja Obywatelska,33  Kielce,9864,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","29-03-1960, Kielce",wyższe,"Politechnika Świętokrzyska w Kielcach, Wydział Mechaniczny, Samochody i ciągniki - magister inżynier (1986)Uniwersytet Warszawski, Menedżerski (1993) - studia podyplomowe",przedsiębiorca,,,,,
Krzysztof Czarnecki,Krzysztof.Czarnecki@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,38  Piła,38116,12-11-2019,poseł V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"25-10-1957, Trzcianka",średnie zawodowe,"Technikum Budowlano-Drogowe w Pile, Technik Budowlano-Drogowy - technik (1977)",przedstawiciel władzy samorządowej,,,,,
Przemysław Czarnecki,Przemyslaw.Czarnecki@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,3  Wrocław,19413,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"12-09-1983, Wrocław",średnie ogólne,XXXVIII Liceum Ogólnokształcące w Warszawie (2003),parlamentarzysta,,,,,
Witold Czarnecki,Witold.Czarnecki@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,37  Konin,16502,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"12-04-1953, Murowana Goślina",wyższe,"Politechnika Poznańska, Budownictwo Lądowe, Budownictwo miejskie i przemysłowe - magister inżynier (1977)Politechnika Poznańska, Wydział Budownictwa Lądowego, nauki techniczne - doktor (1987)",parlamentarzysta,członek prezydium, doktor,,,
Przemysław Czarnek,Przemyslaw.Czarnek@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,6  Lublin,87343,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"11-06-1977, Koło",wyższe,"Katolicki Uniwersytet Lubelski, Wydział Prawa, Prawa Kanonicznego i Administracji, Prawo - magister (2001)Katolicki Uniwersytet Lubelski Jana Pawła II, Prawo konstytucyjne - doktor (2006)Katolicki Uniwersytet Lubelski Jana Pawła II, Prawo konstytucyjne - doktor habilitowany (2015)",wyższy urzędnik administracji rządowej,, doktor habilitowany,,,
Arkadiusz Czartoryski,Arkadiusz.Czartoryski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,18  Siedlce,22457,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"14-04-1966, Ostrołęka",wyższe,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Humanistyczny, Historia - magister (1991)",nauczyciel,,,,,
Włodzimierz Czarzasty,Wlodzimierz.Czarzasty@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,32  Katowice,31244,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","03-05-1960, Warszawa",wyższe,"Uniwersytet Warszawski, Dziennikarstwo i Nauki Polityczne, Stosunki Międzynarodowe - magister (1988)",politolog,,,,Wicemarszałek Sejmu od 12-11-2019,
